project_short_name,case_barcode,sample_barcode,aliquot_barcode,HGNC_gene_symbol,gene_id,normalized_count,original_gene_symbol,platform
TCGA-KIRP,TCGA-5P-A9K6,TCGA-5P-A9K6-01A,TCGA-5P-A9K6-01A-11R-A42S-07,BTN2A1,11120,559.642,BTN2A1,IlluminaHiSeq
TCGA-KIRP,TCGA-5P-A9KA,TCGA-5P-A9KA-01A,TCGA-5P-A9KA-01A-11R-A42S-07,ZNF267,10308,282.3219,ZNF267,IlluminaHiSeq
TCGA-KIRP,TCGA-B1-A656,TCGA-B1-A656-01A,TCGA-B1-A656-01A-11R-A31O-07,WASF1,8936,302.775,WASF1,IlluminaHiSeq
TCGA-KIRP,TCGA-G7-A8LD,TCGA-G7-A8LD-01A,TCGA-G7-A8LD-01A-11R-A36F-07,PCDHGA10,56106,31.7165,PCDHGA10,IlluminaHiSeq
TCGA-KIRP,TCGA-MH-A854,TCGA-MH-A854-01A,TCGA-MH-A854-01A-11R-A355-07,USP33,23032,1024.6867,USP33,IlluminaHiSeq
TCGA-KIRP,TCGA-HE-A5NJ,TCGA-HE-A5NJ-01A,TCGA-HE-A5NJ-01A-11R-A26U-07,DHRS7B,25979,477.0271,DHRS7B,IlluminaHiSeq
TCGA-KIRP,TCGA-Y8-A896,TCGA-Y8-A896-01A,TCGA-Y8-A896-01A-11R-A36F-07,PPIP5K1,9677,763.3623,PPIP5K1,IlluminaHiSeq
TCGA-KIRP,TCGA-IZ-8195,TCGA-IZ-8195-01A,TCGA-IZ-8195-01A-31R-2404-07,TMEM252,169693,6904.4873,C9orf71,IlluminaHiSeq
TCGA-KIRP,TCGA-SX-A7SR,TCGA-SX-A7SR-01A,TCGA-SX-A7SR-01A-12R-A36F-07,HCG18,414777,412.9912,HCG18,IlluminaHiSeq
TCGA-KIRP,TCGA-SX-A7SN,TCGA-SX-A7SN-01A,TCGA-SX-A7SN-01A-11R-A355-07,ARPC2,10109,4127.4572,ARPC2,IlluminaHiSeq
TCGA-KIRP,TCGA-AL-3473,TCGA-AL-3473-01A,TCGA-AL-3473-01A-01R-1193-07,FNBP1,23048,1740.566,FNBP1,IlluminaHiSeq
TCGA-KIRP,TCGA-2Z-A9J9,TCGA-2Z-A9J9-01A,TCGA-2Z-A9J9-01A-11R-A42S-07,PRR26,414235,9.7233,C10orf108,IlluminaHiSeq
TCGA-KIRP,TCGA-A4-A5Y0,TCGA-A4-A5Y0-01A,TCGA-A4-A5Y0-01A-11R-A31O-07,DLG3,1741,903.8632,DLG3,IlluminaHiSeq
TCGA-KIRP,TCGA-B1-5398,TCGA-B1-5398-01A,TCGA-B1-5398-01A-02R-1592-07,FXYD5,53827,2789.5401,FXYD5,IlluminaHiSeq
TCGA-KIRP,TCGA-BQ-7062,TCGA-BQ-7062-01A,TCGA-BQ-7062-01A-11R-1965-07,SEPT9,10801,9023.9521,SEPT9,IlluminaHiSeq
TCGA-KIRP,TCGA-B9-4113,TCGA-B9-4113-01A,TCGA-B9-4113-01A-01R-1193-07,LTBP1,4052,98.1641,LTBP1,IlluminaHiSeq
TCGA-KIRP,TCGA-MH-A561,TCGA-MH-A561-01A,TCGA-MH-A561-01A-11R-A26U-07,FAM157B,100132403,1.6701,FAM157B,IlluminaHiSeq
TCGA-KIRP,TCGA-2Z-A9J3,TCGA-2Z-A9J3-01A,TCGA-2Z-A9J3-01A-12R-A38C-07,CXADRP3,440224,0.3619,CXADRP3,IlluminaHiSeq
TCGA-KIRP,TCGA-GL-A4EM,TCGA-GL-A4EM-01A,TCGA-GL-A4EM-01A-11R-A24Z-07,ABAT,18,2444.664,ABAT,IlluminaHiSeq
TCGA-KIRP,TCGA-A4-A48D,TCGA-A4-A48D-01A,TCGA-A4-A48D-01A-11R-A24Z-07,SLC43A3,29015,369.7368,SLC43A3,IlluminaHiSeq
TCGA-KIRP,TCGA-2K-A9WE,TCGA-2K-A9WE-01A,TCGA-2K-A9WE-01A-11R-A38C-07,GBP4,115361,304.0966,GBP4,IlluminaHiSeq
TCGA-KIRP,TCGA-5P-A9JV,TCGA-5P-A9JV-01A,TCGA-5P-A9JV-01A-12R-A42S-07,HNRNPU-AS1,284702,969.2206,NCRNA00201,IlluminaHiSeq
TCGA-KIRP,TCGA-BQ-7049,TCGA-BQ-7049-01A,TCGA-BQ-7049-01A-11R-1965-07,MEIOB,254528,0.774,C16orf73,IlluminaHiSeq
TCGA-KIRP,TCGA-BQ-5892,TCGA-BQ-5892-01A,TCGA-BQ-5892-01A-11R-1592-07,,144438,637.1047,LOC144438,IlluminaHiSeq
TCGA-KIRP,TCGA-A4-8311,TCGA-A4-8311-01A,TCGA-A4-8311-01A-11R-2404-07,IGSF8,93185,1176.0114,IGSF8,IlluminaHiSeq
TCGA-KIRP,TCGA-DW-7838,TCGA-DW-7838-01A,TCGA-DW-7838-01A-11R-2139-07,SERPING1,710,15118.5323,SERPING1,IlluminaHiSeq
TCGA-KIRP,TCGA-PJ-A5Z9,TCGA-PJ-A5Z9-01A,TCGA-PJ-A5Z9-01A-11R-A28H-07,GNG5,2787,2065.8915,GNG5,IlluminaHiSeq
TCGA-KIRP,TCGA-AL-3468,TCGA-AL-3468-01A,TCGA-AL-3468-01A-02R-1351-07,CHST9,83539,521.9001,CHST9,IlluminaHiSeq
TCGA-KIRP,TCGA-GL-A9DD,TCGA-GL-A9DD-01A,TCGA-GL-A9DD-01A-11R-A37K-07,ADARB2,105,0.5152,ADARB2,IlluminaHiSeq
TCGA-KIRP,TCGA-4A-A93X,TCGA-4A-A93X-01A,TCGA-4A-A93X-01A-11R-A37K-07,CHIC1,53344,298.6445,CHIC1,IlluminaHiSeq
TCGA-KIRP,TCGA-UZ-A9PU,TCGA-UZ-A9PU-01A,TCGA-UZ-A9PU-01A-11R-A42S-07,FGF2,2247,413.0781,FGF2,IlluminaHiSeq
TCGA-KIRP,TCGA-G7-A8LD,TCGA-G7-A8LD-01A,TCGA-G7-A8LD-01A-11R-A36F-07,HSD17B10,3028,944.6637,HSD17B10,IlluminaHiSeq
TCGA-KIRP,TCGA-5P-A9K9,TCGA-5P-A9K9-01A,TCGA-5P-A9K9-01A-11R-A42S-07,MYO1A,4640,113.5734,MYO1A,IlluminaHiSeq
TCGA-KIRP,TCGA-BQ-7053,TCGA-BQ-7053-01A,TCGA-BQ-7053-01A-11R-1965-07,PSMG2,56984,904.873,PSMG2,IlluminaHiSeq
TCGA-KIRP,TCGA-BQ-5885,TCGA-BQ-5885-01A,TCGA-BQ-5885-01A-11R-1592-07,CALML6,163688,2.1954,CALML6,IlluminaHiSeq
TCGA-KIRP,TCGA-G7-6797,TCGA-G7-6797-01A,TCGA-G7-6797-01A-11R-1965-07,TJP3,27134,597.1175,TJP3,IlluminaHiSeq
